Key,Id,Shared Comments,Spanish(es),Spanish(es) Comments,Spanish (Mexico)(es-MX),Spanish (Mexico)(es-MX) Comments,English(en),English(en) Comments,Japanese (Japan)(ja-JP),Japanese (Japan)(ja-JP) Comments
ALEX_BEFOREBODY_10,118,ALEX,La victima es un agente de Hacienda que quería hacerme chantaje con contarle a mi ex que me iba a quedar con el dinero del concierto.,,,,The victim is a tax agent who wanted to blackmail me by telling my ex that I was going to keep the money from the concert.,,被害者は税務署員で、コンサートで得たお金を私が保管するつもりだと元恋人に告げて私を脅迫しようとしていた。,
ALEX_BEFOREBODY_11,119,ALEX,"Mi ex, es la dueña de la organizacion a la que le iba a donar el dinero y quería que viera que soy buena persona.",,,,My ex is the owner of the organization to which I was going to donate the money and I wanted her to see that I am a good person.,,私の元彼は私がお金を寄付する予定だった団体のオーナーなので、私が良い人間であることを彼女に見てもらいたかったのです。,
ALEX_BEFOREBODY_12,120,ALEX,"Ha venido como público, podeis hablar con ella.",,,,"She has come as an audience, you can talk to her.",,彼女は聴衆として来ています、あなたは彼女と話すことができます。,
ALEX_BEFOREBODY_13,121,SELENE,La única mujer que hay aqui es la que estaba con la victima.,,,,The only woman here is the one who was with the victim.,,ここにいる唯一の女性は被害者と一緒にいた女性です。,
ALEX_BEFOREBODY_14,122,CARLOS,Muy sospechoso la verdad.,,,,Very suspicious indeed.,,確かに非常に疑わしい。,
ALEX_BEFOREBODY_15,123,SELENE,Vamos a hablar con ella.,,,,Let's talk to her.,,彼女と話しましょう。,
TIFFANY_DIALOGUE_1_1,124,SELENE,Señorita...,,,,Miss...,,逃す...,
TIFFANY_DIALOGUE_1_2,125,TIFFANY,... *Le ignora*,,,,...*Ignores him*,,...*彼を無視します*,
TIFFANY_DIALOGUE_1_3,126,SELENE,Señorita...,,,,Miss...,,逃す...,
TIFFANY_DIALOGUE_1_4,127,TIFFANY,... *Le sigue ignorando*,,,,... *continues ignoring him*,,... *彼を無視し続ける*,
TIFFANY_DIALOGUE_1_5,128,CARLOS,SEÑORITAAAA.,,,,MISSYYYY.,,ミッシィィィィィ。,
TIFFANY_DIALOGUE_1_6,129,TIFFANY,¿Pero qué quereis...?,,,,But what do you want...?,,でも何が欲しいの…？,
TIFFANY_DIALOGUE_1_7,130,SELENE,Queríamos preguntarle sobre el hombre con el que estaba.,,,,We wanted to ask her about the man she was with.,,私たちは彼女に、付き合っていた男性について聞きたかったのです。,
TIFFANY_DIALOGUE_1_8,131,TIFFANY,"Ah, sí, mi querido Fernancuchi.",,,,"Ah, yes, my dear Fernancuchi.",,ああ、そうだ、親愛なるフェルナンクチ。,
TIFFANY_DIALOGUE_1_9,132,CARLOS,Fernan....cuchi.,,,,Fernan....cuchi.,,フェルナン……クチ。,
TIFFANY_DIALOGUE_1_10,133,SELENE,Podria hablarnos mas de él.,,,,Could you tell us more about him?,,彼についてもっと詳しく教えてもらえますか？,
TIFFANY_DIALOGUE_1_11,134,TIFFANY,¿Por qué deberia hablar de él?,,,,Why should I talk about him?,,なぜ私が彼のことを話さなければならないのでしょうか？,
TIFFANY_DIALOGUE_1_12,135,CARLOS,Señorita...,,,,Miss...,,逃す...,
TIFFANY_DIALOGUE_1_13,136,TIFFANY,Tiffany Diamond...,,,,Tiffany Diamond...,,ティファニー ダイヤモンド...,
TIFFANY_DIALOGUE_1_14,137,CARLOS,Tiffany.,,,,Tiffany.,,ティファニー。,
TIFFANY_DIALOGUE_1_15,138,CARLOS,Ese hombre con el que estaba... Ha muerto...,,,,That man I was with... He's dead...,,一緒にいたあの男は...死んだ...,
TIFFANY_DIALOGUE_1_16,139,TIFFANY,¿¿Fernan....cuchi ha muerto...??,,,,Fernan....cuchi has died...??,,フェルナン……クチが死んだ……？？,
TIFFANY_DIALOGUE_1_17,140,CARLOS,Sí.,,,,Yeah.,,うん。,
TIFFANY_DIALOGUE_1_18,141,TIFFANY,Lo sabía... ¡El idiota de mi ex lo acabaria matando!,,,,I knew it... My idiot ex would end up killing him!,,分かってたよ…私の馬鹿な元彼が彼を殺すことになるんだよ！,
TIFFANY_DIALOGUE_1_19,142,SELENE,*Pensando* Osea que es cierto que es la ex de Caster.,,,,*Thinking* I mean it's true that she is Caster's ex.,,*感想* つまり、彼女がキャスターの元恋人であることは本当だ。,
TIFFANY_DIALOGUE_1_20,143,CARLOS,¿Podria hablarnos de su relación con Fernanchuchi?,,,,Could you tell us about your relationship with Fernanchuchi?,,フェルナンチュチとの関係について教えていただけますか？,
TIFFANY_DIALOGUE_1_21,144,TIFFANY,"Vale, pero antes de hablar... Tu compañero, o lo que sea eso, ¿es hombre, mujer?",,,,"Okay, but before we talk... Is your partner, or whatever that is, a man, a woman?",,さて、その前に…あなたのパートナー、あるいはそれが何であれ、男性ですか、女性ですか?,
TIFFANY_DIALOGUE_1_22,145,TIFFANY,Lo digo porque para una mujer vaya ropa mas hortera.,,,,"I say this because for a woman, clothes are more tacky.",,なぜこんなことを言うかというと、女性にとって服はダサいものだからです。,
TIFFANY_DIALOGUE_1_23,146,SELENE,Sí.,,,,Yeah.,,うん。,
TIFFANY_DIALOGUE_1_24,147,TIFFANY,¿Cómo que sí?...,,,,How so?...,,どうして？...,
TIFFANY_DIALOGUE_1_25,148,SELENE,Síp.,,,,Yep.,,はい。,
TIFFANY_DIALOGUE_1_26,149,TIFFANY,¿Entonces eres tío o tía? ¿Te importaría responderme?,,,,So are you an uncle or aunt? Would you mind answering me?,,それで、あなたは叔父か叔母ですか？答えていただけませんか？,
TIFFANY_DIALOGUE_1_27,150,CARLOS,Creo que te ha respondido exactamente lo que quería decir.,,,,I think he answered exactly what I wanted to say.,,私の言いたかったことを的確に答えてくれたと思います。,
TIFFANY_DIALOGUE_1_28,151,SELENE,"Bueno, hablenos sobre el hombre con el que estaba por favor. Mi ropa no tiene nada que ver con esto.",,,,"Well, tell us about the man you were with please. My clothes have nothing to do with this.",,では、あなたが一緒にいた男性について教えてください。私の服装はこれとは関係ありません。,
TIFFANY_DIALOGUE_1_29,152,TIFFANY,Era un agente de Hacienda al que le daba información sobre mi ex a cambio de favores... Mi Fernanlindo aun me debe un anillo de Ópalo.,,,,He was a tax agent to whom I gave information about my ex in exchange for favors... My Fernanlindo still owes me an Opal ring.,,彼は税務職員で、私が好意と引き換えに私の元に関する情報を提供したのです...私のフェルナンリンドは今でも私にオパールの指輪を借りています。,
TIFFANY_DIALOGUE_1_30,153,CARLOS,Pues... Va a estar complicado ahora.,,,,Well... It's going to be complicated now.,,そうですね…これからは複雑になってきます。,
TIFFANY_DIALOGUE_1_31,154,SELENE,Creo que ya tenemos lo que necesitamos...,,,,I think we already have what we need...,,必要なものはすでに揃っていると思います...,
TIFFANY_DIALOGUE_1_32,155,,Se ha añadido la informacion de Tiffany al menú de perfiles,,,,Tiffany's information has been added to the profile menu,,プロフィールメニューにティファニーの情報を追加しました,
TIFFANY_DIALOGUE_1_33,156,,Se ha añadido la informacion de Fernando al menú de perfiles,,,,Fernando's information has been added to the profile menu,,,
,157,,,,,,,,,
,158,,,,,,,,,
,159,,,,,,,,,
,160,,,,,,,,,
,161,,,,,,,,,
,162,,,,,,,,,
,163,,,,,,,,,
,164,,,,,,,,,
,165,,,,,,,,,
,166,,,,,,,,,
,167,,,,,,,,,
,168,,,,,,,,,
,169,,,,,,,,,
,170,,,,,,,,,
,171,,,,,,,,,
,172,,,,,,,,,
,173,,,,,,,,,
,174,,,,,,,,,
,175,,,,,,,,,
,176,,,,,,,,,
,177,,,,,,,,,
,178,,,,,,,,,
,179,,,,,,,,,
,180,,,,,,,,,
,181,,,,,,,,,
,182,,,,,,,,,
,183,,,,,,,,,
,184,,,,,,,,,
,185,,,,,,,,,
,186,,,,,,,,,
,187,,,,,,,,,
,188,,,,,,,,,
,189,,,,,,,,,
,190,,,,,,,,,
,191,,,,,,,,,
,192,,,,,,,,,
,193,,,,,,,,,
,194,,,,,,,,,
,195,,,,,,,,,
,196,,,,,,,,,
,197,,,,,,,,,
,198,,,,,,,,,
,199,,,,,,,,,
,200,,,,,,,,,
,201,,,,,,,,,
,202,,,,,,,,,
,203,,,,,,,,,
,204,,,,,,,,,
,205,,,,,,,,,
,206,,,,,,,,,
,207,,,,,,,,,
,208,,,,,,,,,
,209,,,,,,,,,
,210,,,,,,,,,
,211,,,,,,,,,
,212,,,,,,,,,
,213,,,,,,,,,
,214,,,,,,,,,
,215,,,,,,,,,
,216,,,,,,,,,
,217,,,,,,,,,
,218,,,,,,,,,
,219,,,,,,,,,
,220,,,,,,,,,
,221,,,,,,,,,
,222,,,,,,,,,
,223,,,,,,,,,
,224,,,,,,,,,
,225,,,,,,,,,
,226,,,,,,,,,
,227,,,,,,,,,
,228,,,,,,,,,
,229,,,,,,,,,
,230,,,,,,,,,
,231,,,,,,,,,
,232,,,,,,,,,
,233,,,,,,,,,
,234,,,,,,,,,
,235,,,,,,,,,
,236,,,,,,,,,
,237,,,,,,,,,
,238,,,,,,,,,
,239,,,,,,,,,
,240,,,,,,,,,
,241,,,,,,,,,
,242,,,,,,,,,
,243,,,,,,,,,
,244,,,,,,,,,
,245,,,,,,,,,
,246,,,,,,,,,
,247,,,,,,,,,
,248,,,,,,,,,
,249,,,,,,,,,
,250,,,,,,,,,
,251,,,,,,,,,
,252,,,,,,,,,
,253,,,,,,,,,
,254,,,,,,,,,
,255,,,,,,,,,
,256,,,,,,,,,
,257,,,,,,,,,
,258,,,,,,,,,
,259,,,,,,,,,
,260,,,,,,,,,
,261,,,,,,,,,
,262,,,,,,,,,
,263,,,,,,,,,
,264,,,,,,,,,
,265,,,,,,,,,
,266,,,,,,,,,
,267,,,,,,,,,
,268,,,,,,,,,
,269,,,,,,,,,
,270,,,,,,,,,
,271,,,,,,,,,
,272,,,,,,,,,
,273,,,,,,,,,
,274,,,,,,,,,
,275,,,,,,,,,
,276,,,,,,,,,
,277,,,,,,,,,
,278,,,,,,,,,
,279,,,,,,,,,
,280,,,,,,,,,
,281,,,,,,,,,
,282,,,,,,,,,
,283,,,,,,,,,
,284,,,,,,,,,
,285,,,,,,,,,
,286,,,,,,,,,
,287,,,,,,,,,
,288,,,,,,,,,
,289,,,,,,,,,
,290,,,,,,,,,
,291,,,,,,,,,
,292,,,,,,,,,
,293,,,,,,,,,
,294,,,,,,,,,
,295,,,,,,,,,
,296,,,,,,,,,
,297,,,,,,,,,
,298,,,,,,,,,
,299,,,,,,,,,
,300,,,,,,,,,
,301,,,,,,,,,
,302,,,,,,,,,
,303,,,,,,,,,
,304,,,,,,,,,
,305,,,,,,,,,
,306,,,,,,,,,
,307,,,,,,,,,
,308,,,,,,,,,
,309,,,,,,,,,
,310,,,,,,,,,
,311,,,,,,,,,
,312,,,,,,,,,
,313,,,,,,,,,
,314,,,,,,,,,
,315,,,,,,,,,
,316,,,,,,,,,
,317,,,,,,,,,
,318,,,,,,,,,
,319,,,,,,,,,
,320,,,,,,,,,
,321,,,,,,,,,
,322,,,,,,,,,
,323,,,,,,,,,
,324,,,,,,,,,
,325,,,,,,,,,
,326,,,,,,,,,
,327,,,,,,,,,
,328,,,,,,,,,
,329,,,,,,,,,
,330,,,,,,,,,
,331,,,,,,,,,
,332,,,,,,,,,
,333,,,,,,,,,
,334,,,,,,,,,
,335,,,,,,,,,
,336,,,,,,,,,
,337,,,,,,,,,
,338,,,,,,,,,
,339,,,,,,,,,
,340,,,,,,,,,
,341,,,,,,,,,
,342,,,,,,,,,
,343,,,,,,,,,
,344,,,,,,,,,
,345,,,,,,,,,
,346,,,,,,,,,
,347,,,,,,,,,
,348,,,,,,,,,
,349,,,,,,,,,
,350,,,,,,,,,
,351,,,,,,,,,
,352,,,,,,,,,
,353,,,,,,,,,
,354,,,,,,,,,
,355,,,,,,,,,
,356,,,,,,,,,
,357,,,,,,,,,
,358,,,,,,,,,
,359,,,,,,,,,
,360,,,,,,,,,
,361,,,,,,,,,
,362,,,,,,,,,
,363,,,,,,,,,
,364,,,,,,,,,
,365,,,,,,,,,
,366,,,,,,,,,
,367,,,,,,,,,
,368,,,,,,,,,
,369,,,,,,,,,
,370,,,,,,,,,
,371,,,,,,,,,
,372,,,,,,,,,
,373,,,,,,,,,
EASTER_EGG_DIALOGUE_1,374,,Hola,,,,,,,
EASTER_EGG_DIALOGUE_1_2,375,,"Si estas viendo esto o soy yo, o alguien de twitter ya que soy el unico que sabe como se activa este dialogo",,,,,,,
EASTER_EGG_DIALOGUE_1_3,376,,He incluido este dialogo como easter egg solo porque necesito desahogarme sobre el curso.,,,,,,,
EASTER_EGG_DIALOGUE_1_4,377,,"Estas ultimas semanas estan siendo una tortura para mi, bueno en general todo el curso.",,,,,,,
EASTER_EGG_DIALOGUE_1_5,378,,Llevo todo el curso durmiendo apenas 7 horas al dia principalmente porque para cumplir con los plazos de entrega me veo obligado a quedarme hasta la tantas.,,,,,,,
EASTER_EGG_DIALOGUE_1_6,379,,Precisamente estoy escribiendo esto a las 12 de la noche justo despues de terminar de cenar porque salir del curso a las 21:40 me ha destrozado el horario.,,,,,,,
EASTER_EGG_DIALOGUE_1_7,380,,Y seguramente me quede trabajando hasta las 2 am.,,,,,,,
EASTER_EGG_DIALOGUE_1_8,381,,"Escribo esto... Porque ya no aguanto mas llevo semanas en las que practicamente me levanto, hago cosas del curso, voy a clase y vuelvo y vuelvo a hacer cosas del curso.",,,,,,,
EASTER_EGG_DIALOGUE_1_9,382,,Y el poco tiempo libre que tengo lo estoy empleando jugando Minecraft y Ninjala porque es lo unico que me relaja.,,,,,,,
EASTER_EGG_DIALOGUE_1_10,383,,"No me estoy quejando del proyecto, precisamente es con los que menos problemas tengo y lo que mas estoy disfrutando, mi problema es contodo lo demas.",,,,,,,
EASTER_EGG_DIALOGUE_1_11,384,,Y la gota que ha colmado el vaso ha sido algo que nos ha dicho un profesor en la que he sentido que nos llamado vagos por ir retrasados con algunas entregas.,,,,,,,
EASTER_EGG_DIALOGUE_1_12,385,,Parece que os creis que solo tenemos tu asignatura intentaros cordinados un poco.,,,,,,,
EASTER_EGG_DIALOGUE_1_13,386,,"Tengo que hacer este proyecto, otro en VR donde el profesor no hace nada, y las otras son tareas semanales que a duras penas puedo terminar.",,,,,,,
EASTER_EGG_DIALOGUE_1_14,387,,Dedico todo el tiempo que puedo al curso a mejorar como programador y a aprender mas sobre unity y aun asi parece que no es suficiente.,,,,,,,
EASTER_EGG_DIALOGUE_1_15,388,,"Si no me he quejado de la situacion de la clase es porque como delegado he intentado mantenerme lo mas neutral posible, aunque estoy seguro que no soy el unico.",,,,,,,
EASTER_EGG_DIALOGUE_1_16,389,,Estoy harto...,,,,,,,
EASTER_EGG_DIALOGUE_1_17,390,,"Porque me siento tal mal por tener alguna tarea tarde, nos la siguen evaluando.",,,,,,,
EASTER_EGG_DIALOGUE_1_18,391,,", pero mis profesores me hacen sentir que por mucho que haga no es sufiente y me siento mal conmigo mismo.",,,,,,,
EASTER_EGG_DIALOGUE_1_19,392,,"Estan siendo unas semanas muy duras en las que si duermo es solo porque rindo mejor descansado, supongo que es lo que tiene la industria del videojuego.",,,,,,,
EASTER_EGG_DIALOGUE_1_20,393,,Y los profesores hechando mas leña al fuego no ayuda.,,,,,,,
EASTER_EGG_DIALOGUE_1_21,394,,"Por eso estoy incluyendo este mensaje en mi proyecto, no me quejare a los profesores, pero sabiendo que han evaluado algo donde expreso como me siento es sufiente",,,,,,,
EASTER_EGG_DIALOGUE_1_22,395,,Ojala la industria del videojuego no acabe conmigo.,,,,,,,
EASTER_EGG_DIALOGUE_1_23,396,,"Veo este curso de desarrollo de videojuegos como un viaje, un viaje que esta apunto de terminar.",,,,,,,
EASTER_EGG_DIALOGUE_1_24,397,,Si no suspendo nada me quedan 2 semanas de curso tras eso me tomare el mayor descanso de mi vida.,,,,,,,
EASTER_EGG_DIALOGUE_1_25,398,,"Gracias por leer/ver esto. Y por favor no te preocupes por mi, tratare de estar bien.",,,,,,,
EASTER_EGG_DIALOGUE_1_26,399,,Solo queria desahogarme y esta es la mejor manera que se me ha ocurrido hacerlo.,,,,,,,
TEST_DIALOGUE_1_1,400,,Buena esta es la ultima actualizacion mi proyecto de final de final de curso que lo entrego la semana que viene.,,,,,,,
TEST_DIALOGUE_1_2,401,,El primer cambio ya lo habreis notado y es que ahora hay un sonido y musica de fondo.,,,,,,,
TEST_DIALOGUE_1_3,402,,"No se de donde es la musica, creo que es de Honkai Star Rail no estoy seguro.",,,,,,,
TEST_DIALOGUE_1_4,403,,"Lo siguiente es el fondo que esta totalmente terminado, no se ve mucho, adjuntare una imagen completa.",,,,,,,
TEST_DIALOGUE_1_5,404,,Los assests son de un paquete de assests de Itch.io gracias a los que me compañero ha podido diseñar este escenario,,,,,,,
TEST_DIALOGUE_1_6,405,,Las 2 ultimas cosas añadidas son los siguientes:,,,,,,,
TEST_DIALOGUE_1_7,406,,¡SOLO HAY UNA VERDAD!,,,,,,,
TEST_DIALOGUE_1_8,407,,Exacto. Como habras visto hemos añadido una serie de logros que podes programar para que salten cuando queramos.,,,,,,,
TEST_DIALOGUE_1_9,408,,Ademas podemos cambiar la banda sonora de fondo en cualquier momento,,,,,,,
TEST_DIALOGUE_1_10,409,,"Ojala esto de lugar a que en el juego haya situaciones muy tensas, si he conseguido poder incluir la banda sonora de detective conan y un logro con ello.",,,,,,,
TEST_DIALOGUE_1_11,410,,Hay 6 logros que pueden saltar cada uno en determinadas circustancias.,,,,,,,
TEST_DIALOGUE_1_12,411,,Para mi desgracia no tiene pinta que vayamos a terminar toda la historia pero solo se nos pide una alfa funcional.,,,,,,,
TEST_DIALOGUE_1_13,412,,Esta es la ultima actualizacion que hare antes de la presentacion y a lo mejor hago una despues contando que tal ha ido la cosa.,,,,,,,
TEST_DIALOGUE_1_14,413,,Ademas me complace informar que es posible que haga publico esto como proyecto terminado.,,,,,,,
TEST_DIALOGUE_1_15,414,,"Pero sera un proceso largo ya que implicaria: Terminar el juego, quitar los assets con derechos de autor, como la musica y mejorar el juego.",,,,,,,
TEST_DIALOGUE_1_16,415,,Si lo publicamos se haria en Itch.io de forma gratuita y el codigo en GitHub para tenerlo como portfolio de cara a las empresas.,,,,,,,
TEST_DIALOGUE_1_17,416,,"Si lo hacemos sera a lo largo del verano, les pido paciencia.",,,,,,,
TEST_DIALOGUE_2_1,417,,Hola Selene,,,,,,,
TEST_DIALOGUE_2_2,418,,Lamento informarte deberas repetir curso,,,,,,,
TEST_DIALOGUE_3_1,419,,Como cres que me veo en color,,,,,,,
TEST_DIALOGUE_3_2,420,,Aqui estoy del otro lado,,,,,,,
TEST_DIALOGUE_4_1,421,,Carlos creo que este esta un poco quieto,,,,,,,
TEST_DIALOGUE_4_2,422,,Solo es un NPC de pruebas,,,,,,,
TEST_DIALOGUE_4_3,423,,Su unica finalidad es activar esta conversacion,,,,,,,
TEST_DIALOGUE_4_4,424,,Ahora lo entiendo,,,,,,,
TEST_DIALOGUE_5_1,425,,Hola gente de Twitter,,,,,,,
TEST_DIALOGUE_5_2,426,,Este dialogo es para probar que los NPCs pueden enviarte una conversacion,,,,,,,
TEST_DIALOGUE_5_3,427,,"Hoy he podido hacer un gran avance, si os fijais arriba a la izquierda hay un icono que indica que puedo hablar",,,,,,,
TEST_DIALOGUE_5_4,428,,"Ademas gracias a mi compañero ahora estoy a color, me encanta el resultado.",,,,,,,
TEST_DIALOGUE_5_5,429,,Ahora toca ver cual es el siguiente punto del desarollo estare unos dias pensando.,,,,,,,
TEST_DIALOGUE_5_6,430,,"Adios, nos vemos otro dia.",,,,,,,
TEST_DIALOGUE_EVENTS_1,431,,Prueba para añadir la info de Fernando a la libreta de apuntes,,,,,,,
TEST_DIALOGUE_EVENTS_2,432,,La informacion de Fernanchuchi se ha añadido a la libreta,,,,,,,
TEST_DIALOGUE_EVENTS_3,433,,Se ha añadido la informacion del contenido de la bebida a la libreta de apuntes,,,,,,,
TEST_DIALOGUE_EVENTS_4,434,,(Explicacion del crimen),,,,,,,
TEST_DIALOGUE_EVENTS_5,435,,(Fin de la explicación del crimen),,,,,,,
DIALOGUE_SOLO_HAY_UNA_VERDAD,436,,¡SOLO HAY UNA VERDAD!,,,,,,,
TEST_DIALOGUE_OPTIONS_1_1,437,,Hey Selene,,,,,,,
TEST_DIALOGUE_OPTIONS_1_2,438,,Me alegro que ahora ambos nos veamos a color.,,,,,,,
TEST_DIALOGUE_OPTIONS_1_3,439,,Si. ya estamos incluidos dentro del juego,,,,,,,
TEST_DIALOGUE_OPTIONS_1_4,440,,Ojala pronto podamos tener completo a nuestro plantel de personajes.,,,,,,,
TEST_DIALOGUE_OPTIONS_1_5,441,,3.141592653589793238462643383279502884197169399375105820974944592307816406286208998628034825342117067982148086513282306647093844609550582,,,,,,,
TEST_DIALOGUE_OPTIONS_1_6,442,,Pronto empezara el concierto,,,,,,,
TEST_DIALOGUE_OPTIONS_1_7,443,,Porfa no me asesineis,,,,,,,
TEST_DIALOGUE_OPTIONS_1_8,444,,O sea que emocion,,,,,,,
TEST_DIALOGUE_OPTIONS_1_9,445,,Que triste estoy,,,,,,,
TEST_DIALOGUE_OPTIONS_1_10,446,,Ahora en serio.,,,,,,,
TEST_DIALOGUE_OPTIONS_1_11,447,,No puedo evitar tener la sensacion de que te estoy presionando demasiado,,,,,,,
TEST_DIALOGUE_OPTIONS_1_12,448,,No se si tal vez iremos muy justos con el tiempo del proyecto sabiedno que nos queda unicamente el mes de mayo,,,,,,,
TEST_DIALOGUE_OPTIONS_1_13,449,,Yo intentare hacer toda la UI del juego y ver cuando la puedo hacer funcional,,,,,,,
TEST_DIALOGUE_OPTIONS_1_14,450,,Espero que puedas seguir manteniendo el nivel los diseños de los personajes y me muerdo de ganas de ver al resto de personajes ahora si...,,,,,,,
TEST_DIALOGUE_OPTIONS_1_15,451,,Adios,,,,,,,
TEST_DIALOGUE_OPTIONS_2_1,452,,Prueba de opciones de dialogo 2,,,,,,,
TEST_DIALOGUE_OPTIONS_2_2,453,,Tal vez deberia mejorar la interfaz que maneja esto ya que de momento es un poco cutre,,,,,,,
TEST_DIALOGUE_OPTIONS_2_3,454,,Me faltaria hacer que mediante programacion puedas activar los dialogos deshabilitados,,,,,,,
TEST_DIALOGUE_OPTIONS_2_4,455,,El siguiente dialogo es relleno,,,,,,,
TEST_DIALOGUE_OPTIONS_2_5,456,,aaaaaaaaaaaaaaaaaaaaah,,,,,,,
,457,,,,,,,,,
,458,,,,,,,,,
,459,,,,,,,,,
,460,,,,,,,,,
,461,,,,,,,,,
,462,,,,,,,,,
,463,,,,,,,,,
,464,,,,,,,,,
,465,,,,,,,,,
,466,,,,,,,,,
,467,,,,,,,,,
,468,,,,,,,,,
,469,,,,,,,,,
,470,,,,,,,,,
,471,,,,,,,,,
,472,,,,,,,,,
,473,,,,,,,,,
,474,,,,,,,,,
,475,,,,,,,,,
,476,,,,,,,,,
,477,,,,,,,,,
,478,,,,,,,,,
,479,,,,,,,,,
,480,,,,,,,,,
,481,,,,,,,,,
,482,,,,,,,,,
,483,,,,,,,,,
,484,,,,,,,,,
,485,,,,,,,,,
,486,,,,,,,,,
,487,,,,,,,,,
,488,,,,,,,,,
,489,,,,,,,,,
,490,,,,,,,,,
,491,,,,,,,,,
,492,,,,,,,,,
,493,,,,,,,,,
,494,,,,,,,,,
,495,,,,,,,,,
,496,,,,,,,,,
,497,,,,,,,,,
,498,,,,,,,,,
,499,,,,,,,,,
,500,,,,,,,,,
,501,,,,,,,,,
,502,,,,,,,,,
,503,,,,,,,,,
,504,,,,,,,,,
,505,,,,,,,,,
,506,,,,,,,,,
,507,,,,,,,,,
,508,,,,,,,,,
,509,,,,,,,,,
,510,,,,,,,,,
,511,,,,,,,,,
,512,,,,,,,,,
,513,,,,,,,,,
,514,,,,,,,,,
,515,,,,,,,,,
,516,,,,,,,,,
,517,,,,,,,,,
,518,,,,,,,,,
,519,,,,,,,,,
,520,,,,,,,,,
,521,,,,,,,,,
,522,,,,,,,,,
,523,,,,,,,,,
,524,,,,,,,,,
,525,,,,,,,,,
,526,,,,,,,,,
,527,,,,,,,,,
,528,,,,,,,,,
,529,,,,,,,,,
,530,,,,,,,,,
,531,,,,,,,,,
,532,,,,,,,,,
,533,,,,,,,,,
,534,,,,,,,,,
,535,,,,,,,,,
,536,,,,,,,,,
,537,,,,,,,,,
,538,,,,,,,,,
,539,,,,,,,,,
,540,,,,,,,,,
,541,,,,,,,,,
,542,,,,,,,,,
,543,,,,,,,,,
,544,,,,,,,,,
,545,,,,,,,,,
,546,,,,,,,,,
,547,,,,,,,,,
,548,,,,,,,,,
,549,,,,,,,,,
,550,,,,,,,,,
,551,,,,,,,,,
,552,,,,,,,,,
,553,,,,,,,,,
,554,,,,,,,,,
,555,,,,,,,,,
,556,,,,,,,,,
,557,,,,,,,,,
,558,,,,,,,,,
,559,,,,,,,,,
,560,,,,,,,,,
,561,,,,,,,,,
,562,,,,,,,,,
,563,,,,,,,,,
,564,,,,,,,,,
,565,,,,,,,,,
,566,,,,,,,,,
,567,,,,,,,,,
,568,,,,,,,,,
,569,,,,,,,,,
,570,,,,,,,,,
,571,,,,,,,,,
,572,,,,,,,,,
,573,,,,,,,,,
,574,,,,,,,,,
,575,,,,,,,,,
,576,,,,,,,,,
,577,,,,,,,,,
,578,,,,,,,,,
,579,,,,,,,,,
,580,,,,,,,,,
,581,,,,,,,,,
,582,,,,,,,,,
,583,,,,,,,,,
,584,,,,,,,,,
,585,,,,,,,,,
,586,,,,,,,,,
,587,,,,,,,,,
,588,,,,,,,,,
,589,,,,,,,,,
,590,,,,,,,,,
,591,,,,,,,,,
,592,,,,,,,,,
,593,,,,,,,,,
,594,,,,,,,,,
,595,,,,,,,,,
,596,,,,,,,,,
,597,,,,,,,,,
,598,,,,,,,,,
,599,,,,,,,,,
,600,,,,,,,,,
,601,,,,,,,,,
,602,,,,,,,,,
,603,,,,,,,,,
,604,,,,,,,,,
,605,,,,,,,,,
,606,,,,,,,,,
,607,,,,,,,,,
,608,,,,,,,,,
,609,,,,,,,,,
,610,,,,,,,,,
,611,,,,,,,,,
,612,,,,,,,,,
,613,,,,,,,,,
,614,,,,,,,,,
,615,,,,,,,,,
,616,,,,,,,,,
,617,,,,,,,,,
,618,,,,,,,,,
,619,,,,,,,,,
,620,,,,,,,,,
,621,,,,,,,,,
,622,,,,,,,,,
,623,,,,,,,,,
,624,,,,,,,,,
,625,,,,,,,,,
,626,,,,,,,,,
,627,,,,,,,,,
,628,,,,,,,,,
,629,,,,,,,,,
,630,,,,,,,,,
,631,,,,,,,,,
,632,,,,,,,,,
,633,,,,,,,,,
,634,,,,,,,,,
,635,,,,,,,,,
,636,,,,,,,,,
,637,,,,,,,,,
,638,,,,,,,,,
,639,,,,,,,,,
,640,,,,,,,,,
,641,,,,,,,,,
,642,,,,,,,,,
,643,,,,,,,,,
,644,,,,,,,,,
,645,,,,,,,,,
,646,,,,,,,,,
,647,,,,,,,,,
,648,,,,,,,,,
,649,,,,,,,,,
,650,,,,,,,,,
,651,,,,,,,,,
,652,,,,,,,,,
,653,,,,,,,,,
,654,,,,,,,,,
,655,,,,,,,,,
,656,,,,,,,,,
,657,,,,,,,,,
,658,,,,,,,,,
,659,,,,,,,,,
,660,,,,,,,,,
,661,,,,,,,,,
,662,,,,,,,,,
,663,,,,,,,,,
,664,,,,,,,,,
,665,,,,,,,,,
,666,,,,,,,,,
,667,,,,,,,,,
,668,,,,,,,,,
,669,,,,,,,,,
,670,,,,,,,,,
,671,,,,,,,,,
,672,,,,,,,,,
,673,,,,,,,,,
,674,,,,,,,,,
,675,,,,,,,,,
,676,,,,,,,,,
,677,,,,,,,,,
,678,,,,,,,,,
,679,,,,,,,,,
,680,,,,,,,,,
,681,,,,,,,,,
,682,,,,,,,,,
,683,,,,,,,,,
